corp_code,corp_name,bsns_year,fs_div,sj_div,sj_nm,account_id,account_nm,thstrm_amount,frmtrm_amount,ord,currency,source,rcept_no,is_comparative
01906622,패러블엔터테인먼트,2025,OFS,CIS,포괄손익계산서,dart-audit_Revenue,Ⅰ. 매출액,21827033343.0,20950950397.0,,KRW,audit_report,20260407000075,False
01906622,패러블엔터테인먼트,2024,OFS,CIS,포괄손익계산서,dart-audit_Revenue,Ⅰ. 매출액(전기 비교치),20950950397.0,,,KRW,audit_report,20260407000075,True
01906622,패러블엔터테인먼트,2025,OFS,CIS,포괄손익계산서,dart-audit_OperatingIncomeLoss,Ⅴ. 영업이익(손실),-9096628575.0,1214424890.0,,KRW,audit_report,20260407000075,False
01906622,패러블엔터테인먼트,2024,OFS,CIS,포괄손익계산서,dart-audit_OperatingIncomeLoss,Ⅴ. 영업이익(손실)(전기 비교치),1214424890.0,,,KRW,audit_report,20260407000075,True
01906622,패러블엔터테인먼트,2025,OFS,CIS,포괄손익계산서,dart-audit_ProfitLoss,Ⅹ. 당기순이익(손실),-9188272939.0,1090832577.0,,KRW,audit_report,20260407000075,False
01906622,패러블엔터테인먼트,2024,OFS,CIS,포괄손익계산서,dart-audit_ProfitLoss,Ⅹ. 당기순이익(손실)(전기 비교치),1090832577.0,,,KRW,audit_report,20260407000075,True
01605556,브레이브엔터테인먼트,2021,OFS,BS,재무상태표,dart-audit_Assets,자     산     총     계,11770141492.0,4060366516.0,,KRW,audit_report,20230414001964,False
01605556,브레이브엔터테인먼트,2020,OFS,BS,재무상태표,dart-audit_Assets,자     산     총     계(전기 비교치),4060366516.0,,,KRW,audit_report,20230414001964,True
01605556,브레이브엔터테인먼트,2021,OFS,BS,재무상태표,dart-audit_Liabilities,부     채     총     계,17464162514.0,13337965719.0,,KRW,audit_report,20230414001964,False
01605556,브레이브엔터테인먼트,2020,OFS,BS,재무상태표,dart-audit_Liabilities,부     채     총     계(전기 비교치),13337965719.0,,,KRW,audit_report,20230414001964,True
01605556,브레이브엔터테인먼트,2021,OFS,BS,재무상태표,dart-audit_Equity,자     본     총     계,-5694021022.0,-9277599203.0,,KRW,audit_report,20230414001964,False
01605556,브레이브엔터테인먼트,2020,OFS,BS,재무상태표,dart-audit_Equity,자     본     총     계(전기 비교치),-9277599203.0,,,KRW,audit_report,20230414001964,True
01605556,브레이브엔터테인먼트,2021,OFS,CIS,포괄손익계산서,dart-audit_OperatingIncomeLoss,Ⅴ. 영업이익(손실),3280720555.0,-1914989456.0,,KRW,audit_report,20230414001964,False
01605556,브레이브엔터테인먼트,2020,OFS,CIS,포괄손익계산서,dart-audit_OperatingIncomeLoss,Ⅴ. 영업이익(손실)(전기 비교치),-1914989456.0,,,KRW,audit_report,20230414001964,True
01605556,브레이브엔터테인먼트,2021,OFS,CIS,포괄손익계산서,dart-audit_ProfitLoss,X. 당기순이익(손실),2083548181.0,-2938717867.0,,KRW,audit_report,20230414001964,False
01605556,브레이브엔터테인먼트,2020,OFS,CIS,포괄손익계산서,dart-audit_ProfitLoss,X. 당기순이익(손실)(전기 비교치),-2938717867.0,,,KRW,audit_report,20230414001964,True
01605556,브레이브엔터테인먼트,2022,OFS,BS,재무상태표,dart-audit_Assets,자     산     총     계,6867213902.0,11770141492.0,,KRW,audit_report,20230414002029,False
01605556,브레이브엔터테인먼트,2022,OFS,BS,재무상태표,dart-audit_Liabilities,부     채     총     계,12240284959.0,17464162514.0,,KRW,audit_report,20230414002029,False
01605556,브레이브엔터테인먼트,2022,OFS,BS,재무상태표,dart-audit_Equity,자     본     총     계,-5373071057.0,-5694021022.0,,KRW,audit_report,20230414002029,False
01605556,브레이브엔터테인먼트,2022,OFS,CIS,포괄손익계산서,dart-audit_OperatingIncomeLoss,Ⅴ. 영업이익(손실),-414681697.0,3280720555.0,,KRW,audit_report,20230414002029,False
01605556,브레이브엔터테인먼트,2022,OFS,CIS,포괄손익계산서,dart-audit_ProfitLoss,X. 당기순이익(손실),-1779141073.0,2083548181.0,,KRW,audit_report,20230414002029,False
