corp_name,bsns_year,fs_div,assets,liabilities,equity,revenue,operating_income,net_income,operating_margin,net_margin,asset_turnover,equity_ratio,debt_to_equity,revenue_yoy,operating_income_yoy
샌드박스네트워크,2018,OFS,17694288990.0,4305610825.0,13388678165.0,28205573451.0,-2289460416.0,-2120712352.0,-0.08117049702880015,-0.07518770556763178,1.5940495527647647,0.7566666381772484,0.3215859528430154,,
샌드박스네트워크,2019,OFS,40712576468.0,7749752315.0,32962824153.0,60813297021.0,-7826589979.0,-7810643160.0,-0.12869866233855612,-0.12843643648037756,1.4937226355300586,0.80964721500514,0.23510583556277845,1.1560737677128818,2.4185303769846875
샌드박스네트워크,2020,OFS,92648431676.0,20746992923.0,71901438753.0,89924648768.0,-7274039054.0,-5724007646.0,-0.08089038048696268,-0.06365337784935456,0.9706008740922316,0.7760675216224477,0.2885476741887082,0.4787004351523203,-0.07059919153585192
샌드박스네트워크,2021,CFS,82709714904.0,26400615354.0,56309099550.0,113672460903.0,-12129143448.0,-15712402656.0,-0.10670256763729387,-0.13822523530486286,1.3743544036506234,0.6808039371838868,0.4688516698896493,,
샌드박스네트워크,2022,CFS,82113446782.0,55451225512.0,26662221270.0,151384113930.0,-25373869625.0,-38096922154.0,-0.16761249886981452,-0.25165733157189807,1.843597119140598,0.3246998185423218,2.0797676589081884,0.3317571620023292,1.0919753924737323
샌드박스네트워크,2023,CFS,39987726471.0,130053957421.0,-90066230950.0,69715552688.0,-15296214851.0,-205045401.0,-0.21940893044993254,-0.0029411715620708844,1.74342376625386,-2.2523468798687034,-1.4439813462739333,-0.539479071626786,-0.39716664911333954
샌드박스네트워크,2024,CFS,32389420968.0,126626358069.0,-94236937101.0,64472805935.0,-4702164076.0,-4160999816.0,-0.0729325179478091,-0.06453883549282816,1.990551359306412,-2.90949743109344,-1.3437019704204318,-0.07520196786595112,-0.6925929635662386
샌드박스네트워크,2025,CFS,36740868871.0,124632059746.0,-87891190875.0,73147510889.0,-4273011835.0,-4512363070.0,-0.0584163669148526,-0.06168853888750128,1.990903131491705,-2.392191409070719,-1.4180267499532841,0.13454827703242267,-0.09126696433040415
패러블엔터테인먼트,2024,OFS,16906675717.0,3219372458.0,13687303259.0,20950950397.0,1214424890.0,1090832577.0,0.05796514558947624,0.052066018788159515,1.2392117023888618,0.8095798067054154,0.2352086745709475,,
패러블엔터테인먼트,2025,OFS,9206282637.0,4707252317.0,4499030320.0,21827033343.0,-9096628575.0,-9188272939.0,-0.41675973239475156,-0.4209583957018469,2.370884558255606,0.48869130977126657,1.0462815278382032,0.04181590473935959,-8.490482655539118
