video_id,clip_channel_id,clip_channel_title,source_member_ko,source_member_en,unit,title,published_at,views,likes,comments,clip_channel_subs
acsU3ct0dQE,UCINUfsSX2gwXHB_CcrueSrg,스텔클립클립,아야츠노 유니,Ayatsuno Yuni,EVERYS,전설의 1호선 빌런 영상을 보고 정신을 못 차리는 유니,2025-07-17T22:34:58Z,33262,497.0,40.0,5150
vxkACW8PjAc,UC2acHa6zvsnTo4P9OfNk4jQ,피엔나 소세지,아야츠노 유니,Ayatsuno Yuni,EVERYS,[유니 클립] 강아지라며!! 강아지라고 했잖아!!!,2026-05-18T12:40:06Z,117812,2001.0,384.0,10100
8cI93oVUoq0,UCNicQVuAQJYlCQKEw1TKn1A,けんき,아야츠노 유니,Ayatsuno Yuni,EVERYS,韓国の大手vtuberが無敵すぎて爆笑するけんき【純角ユニ/아야츠노 유니/しろまんた/ろぜっくぴん/かんせる/メーメントヴァニタス/望月ほぐの/けんき切り抜き/#MADTOWN GTA】,2025-10-12T06:30:05Z,231793,3520.0,327.0,561000
y5ofQs7VAfU,UCry-cqo_sdAyNLfaGI-__mA,StelLive切り抜き 翻訳チャンネル,아야츠노 유니,Ayatsuno Yuni,EVERYS,【純角ユニ】第一印象の破壊力が半端ないユニwwwww,2024-03-23T16:47:43Z,5024,74.0,0.0,350
lWPJ9FPM0DA,UCry-cqo_sdAyNLfaGI-__mA,StelLive切り抜き 翻訳チャンネル,아야츠노 유니,Ayatsuno Yuni,EVERYS,【純角ユニ】デビュー配信で潔すぎるユニwwwww #純角ユニ #ayatsuno #yuni #あやつのゆに #치지직 #stellive #아야츠노 #유니 #shorts,2024-03-25T15:04:52Z,13326,225.0,1.0,350
HOS7WWPEiW8,UCry-cqo_sdAyNLfaGI-__mA,StelLive切り抜き 翻訳チャンネル,아야츠노 유니,Ayatsuno Yuni,EVERYS,【純角ユニ】の煽りスキルがまじで良い【StelLive切り抜き】#純角ユニ #ayatsuno yuni #あやつのゆに #치지직 #stellive #아야츠노 유니 #유니 #shorts,2024-04-11T14:59:03Z,3927,62.0,0.0,350
7vBGCokkd_A,UCry-cqo_sdAyNLfaGI-__mA,StelLive切り抜き 翻訳チャンネル,아야츠노 유니,Ayatsuno Yuni,EVERYS,【純角ユニ】ユニが韓国語を教えてくれるらしい。【StelLive切り抜き】#純角ユニ #ayatsuno yuni #치지직 #stellive #아야츠노 유니 #유니 #shorts,2024-04-10T19:23:28Z,12451,314.0,4.0,350
RYzHBU-qzMU,UCxOe0PDvhNL6gmuzSO88Z7Q,すてら日和,아야츠노 유니,Ayatsuno Yuni,EVERYS,【純角ユニ】ユニ先生の楽しい日本語教室！【ステライブ切り抜き/日韓字幕】,2026-03-12T12:15:05Z,17486,474.0,116.0,4400
4x3MKZfRN6o,UCry-cqo_sdAyNLfaGI-__mA,StelLive切り抜き 翻訳チャンネル,아야츠노 유니,Ayatsuno Yuni,EVERYS,【純角ユニ】日本語で視聴者を尊ﾀﾋさせるユニww【StelLive切り抜き】#純角ユニ #ayatsunoyuni yuni #치지직 #stellive #아야츠노 유니 #유니 #shorts,2024-04-09T09:23:13Z,19987,567.0,14.0,350
Uchiz_t8Z4k,UCxOe0PDvhNL6gmuzSO88Z7Q,すてら日和,아야츠노 유니,Ayatsuno Yuni,EVERYS,【純角ユニ】とんかつへのこだわりを語るユニさんが可愛い【ステライブ切り抜き/日韓字幕】,2025-12-12T12:30:47Z,19912,416.0,102.0,4400
pZQ8N1SkDhk,UCxOe0PDvhNL6gmuzSO88Z7Q,すてら日和,아야츠노 유니,Ayatsuno Yuni,EVERYS,【純角ユニ】お刺身へのこだわりを語るユニさんが面白い！【ステライブ切り抜き/日韓字幕】,2025-12-29T12:31:19Z,4558,160.0,50.0,4400
kAwfvBg-2_U,UCry-cqo_sdAyNLfaGI-__mA,StelLive切り抜き 翻訳チャンネル,아야츠노 유니,Ayatsuno Yuni,EVERYS,【純角ユニ】4歳児の韓国語教室が色々おもしろいｗｗ【StelLive切り抜き】,2024-04-04T22:51:15Z,4010,86.0,3.0,350
dzc2sf5RdB8,UCry-cqo_sdAyNLfaGI-__mA,StelLive切り抜き 翻訳チャンネル,아야츠노 유니,Ayatsuno Yuni,EVERYS,【純角ユニ】華麗に銃を使いこなす4歳児！【StelLive切り抜き】,2024-03-23T17:41:58Z,760,18.0,1.0,350
jQAlX_BzHY0,UCry-cqo_sdAyNLfaGI-__mA,StelLive切り抜き 翻訳チャンネル,아야츠노 유니,Ayatsuno Yuni,EVERYS,【純角ユニ】デビュー配信で初々しいユニがかわいいｗｗ【StelLive切り抜き】,2024-03-20T16:43:46Z,5914,116.0,4.0,350
