game,name_ko,review_id,title,content,rating,at,app_version
genshin,원신,13789969950,진짜 기가 없어서 못했는데 지금 해보네요 재밌어요,하고 싶었는데 기가가 부족해서 못하다가 폰 바꾸고 해봤는데 재밌어요!!,5,2026-02-25T20:16:38-07:00,6.4.0
genshin,원신,13787847285,게속 돌아오게 되는 게임,몇년 전에 처음 해봣다가 다시 몇년 후에 돌아오고 또 다시 왔어요 ㅋㅋㅋ 너무 재밌어서 한 번 하면 서너시간은 하게 되는 것 같더라구요… 오랜만에 하니 더 재밌어요 ㅋㅋㅋㅋ 저장공간이 부족해서 사진 정리도 했다가 앱도 지웟다가 해서 결국 깔앗어요 저장공간 차지가 심하긴 하지만 이정도 그래픽이면 이해하져,4,2026-02-25T07:05:10-07:00,6.4.0
genshin,원신,13787667035,제발 스킵,제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵 제발 스킵,5,2026-02-25T06:09:45-07:00,6.4.0
genshin,원신,13787544366,요즘감다뒤,원띤•니똥꼬의노래,1,2026-02-25T05:32:10-07:00,6.4.0
genshin,원신,13787299765,푸리나때문에해봄,원신뉴비인데요 몇년전에 하다가 어려워서 접었었는데 다시 해보니까 생각보다 너무 재밋고 캐릭터들도 이쁘고귀엽고잘생김 이제 원신말고 다른겜은 못하겠어요흑흑,5,2026-02-25T04:14:37-07:00,6.4.0
genshin,원신,13786669132,"이게 pc위주로 갈건가, 용량 최적화가 절실하다","오픈월드라해도 정도껏이지 매번 업데이트때마다 리소스때문에 용량이 과부화됨. 정도껏해야지 125gb기기에 게임이라곤 이것뿐인데,,,",1,2026-02-24T23:45:24-07:00,6.4.0
genshin,원신,13786530697,오래오래서비스해주세요..!,"모바일 게임을 몇년째 하고 있는거야....처음입니다..
오래오래 서비스해주세요.",5,2026-02-24T22:35:43-07:00,6.4.0
genshin,원신,13786520412,디테일이 엄청 좋은 게임 !!,"스토리 너무 재밌고, 캐릭터들도 너무 예쁘고, 디테일들도 다 너무 완벽하게 좋은데요, 마물과 싸울 때 지정된 장소보다 아주 조금 멀리 가도 마물이 지정된 장소로 가면서 마물이 풀피가 돼요 ㅜㅜ 이것 빼곤 다 좋은 것 같아요 !!",4,2026-02-24T22:30:31-07:00,6.4.0
genshin,원신,13786418064,음,노드크라이 이후로 좀 좋아진 것 같긴 한데 …무기는 픽뚫을 없애주셨으면 합니다. 첫 현질로 무기 돌렸는데 픽뚫에 이때까지 캐릭 전무를 맞춰준적이 없습니다…; 제발요,5,2026-02-24T21:38:21-07:00,6.4.0
genshin,원신,13786325134,너무 매력적인게임,"예전에 깔짝 하다가 최근에 복귀한 늅입니다 최근에 원래 마신임무가 이나즈마 까지 밀려있었는데 수메르 부터 하나하나 차근차근 밀다보니 마신 임무는 다 깼습니다 
허나 원신은 마신임무 말고도 다양한 임무들과 즐길거리가 굉장히 방대해서 좋은것 같고 매력적인 캐릭들과 스토리가 요즘 나오는 그래픽 좋고 타격감 좋은 게임들에게도 밀리지 않는 이유라 생각합니다",5,2026-02-24T20:51:53-07:00,6.4.0
genshin,원신,13786220044,다 좋은데,다 좋은데 스토리 스킵 좀 만들어 주세요 붕스랑 젠존제도 스토리 스킵 만들었는데 원신도 만들어 주면 정말 좋을것 같아요 아무리 스토리 게임이여도 너무 말이 많아서 임무 하나 미는데 시간이 너무 오래 걸립니다 제발 제발 스토리 스킵 좀 만들어 주세요,4,2026-02-24T20:01:33-07:00,6.4.0
genshin,원신,13786113750,남캐,원석좀 뿌려주세요,4,2026-02-24T19:14:12-07:00,6.4.0
genshin,원신,13786054206,게임다운 게임,다른게임들 보면 유저들 과금한건 대체 어디로 가는지 모르겠는 게임들 많은데 이건 그나마 유저들 돈쓴보람있게 모델링도 맵도 브금도 잘뽑는다,5,2026-02-24T18:48:45-07:00,6.4.0
genshin,원신,13785656571,화석이 아닌 석유이상이 되어버림,"1.2때 시작해서, 어느순간 부터 6년 된 유저가 되어버린 게임…..지금도 사실 나온지 얼마 안된 게임 같음 4년정도 플레이 했을때는 중간중간 접기도 하고 원태기도 자주 와서 딴 게임을 했지만 결국에는 이만한 게임이 없어서 다시 돌아오게 됨. …. 아직도 재미있습니다^^사실 이번에 바르카 나와서 복귀했습니다. 바르카 기대하고 있어요",5,2026-02-24T16:04:04-07:00,6.4.0
genshin,원신,13785648103,재밋어용,3.1때부터 플레이하고앗는유저입니당 지금도 계속 하고잇는데 재밋어용 제발 픽뚫만 안나길,5,2026-02-24T16:00:33-07:00,6.4.0
genshin,원신,13785537366,"1티어는 아니더라도 3,4티어는 된다.","뭐 이래저레 많이 욕하긴 했지만 똥겜은 아닙니다.팬들이 욕하는 이유는 예전에 0티어 였던 게임이 3,4티어로 떨어져서 그런거겠죠. 현재 문제점을 간략히 말하면 보상 적고, 성비 박살났고,구 캐릭은 신캐릭에 비해 성능이 낮고 서포터 범용성은 개나 줬고 예전 이동기가 희귀했던. 시대에 비해 요즘은 캐릭터 중 7할이 이동기가 있고 나타는 컨셉 맞지도 않게 기게 타고 다니고 예전 이벤트는 영원히 못하고 (금사과나 동화 속 세계) 적들은 점점 짜증나게 변해가고 뭐 이정도…(작은게 많나?)",4,2026-02-24T15:12:17-07:00,6.4.0
genshin,원신,13783095773,Goat,너무 재미있음,5,2026-02-23T23:01:10-07:00,6.3.1
genshin,원신,13779090637,최고의 게임,난 솔직히 다른사람들 씨부리면서 불편하다는거 모르겠고 걍 갓 원신 스토리 미친 개튼튼해서 제발 애니로 만들어줬으면 좋겠고 이런게임이 다시 세상에 나올ㅋ가 싶다 서사 스토리 진짜 개쩜 님들아 제발 해보셈 진짜로 나만 이거할때 오타쿠 취급받는데 억울함 진짜걍 개띵작임 미친거같음,5,2026-02-22T19:05:13-07:00,6.3.1
genshin,원신,13775586648,재밌다아아아앙,하윙,5,2026-02-21T20:04:21-07:00,6.3.1
genshin,원신,13769798963,정말 게임 지루함,게임을 하다보면 정말 짜증나게 만듦. 난이도와 상관없이 시간 끌기가 많아서 더 이상 하기 싫음,1,2026-02-20T06:22:06-07:00,6.3.1
genshin,원신,13768765187,월정액유저,이제 과금 안하면 플레이 힘듦. 나타부터 신캐 강매 심해지더니 노드크라이부터는 정 털려서 안하게됨,3,2026-02-19T23:12:51-07:00,6.3.1
genshin,원신,13761783632,고집 좀 그만 부르고 스킵 좀 만들어주세요,재밌는데 스토리 때문에 하기 시름 미룬이가 됨,5,2026-02-18T00:07:32-07:00,6.3.1
genshin,원신,13758935399,현재,같은장르 나온 게임중 최고,5,2026-02-17T05:08:12-07:00,6.3.1
genshin,원신,13752509625,원신 개선좀 해보셈,아니 나타 스토리 겁나 망했는데 노크에선 캐릭성 다 붕괴 실화???악역으로 나올 줄 알았던 콜롬비나는 갑자기 신이되고 산드로네는 츤츤거리면서 티타임이나 가지네 와…앨리스는 작중 행적보면 도토레따윈 뭉갤줄 알았더니만 도토레 수법도 미리 눈치 못채고 ㄹㅈㄷ네..아를레키노는 감정에 휩싸이면 안된다는 규칙을 아이들도 아니고 친해보이지도 않던 콜롬비나 때메 깨진거 ㄹㅇ에바.애들 캐디도 좀 어케 해봐요…실루엣보니까 막장이던데…그리고 남캐도 좀 내고 여캐 요망하면서 절대 안넘어가고 꿀리지 않는 테토녀들이나 많이 만드삼.그래도 몬드 돌아온건 좋은데 또 망치면 접음ㅅㄱ.이나즈마는 캐릭터가 이쁘기라도 했지…폰타인 이후 원신 존망,3,2026-02-15T08:59:52-07:00,6.3.1
genshin,원신,13751335334,처음으로 1년 넘게 한 갓겜,생일 선물 주는 게임처음 해봄. 감동,5,2026-02-15T02:11:43-07:00,6.3.1
genshin,원신,13748409385,너무 잘하고 있는 게임인데 자각몽 세계 너무 별로,게임용량 너무 커서 할때마다 앱 지우고 하는데 자각몽 세계로 rpg도 아니고 로블록스같은 맴 생겨서 너무 별로임 용량 더 차지하고 재미는 없어요 스토리 중심으로 계속 밀고 나가주세요 이상한거 해서 용량 늘리지 마시고..,3,2026-02-14T06:30:34-07:00,6.3.1
genshin,원신,13748153890,4성 캐릭터,원하는 4성 캐릭터 뜰 확률좀 높여주세요 일루가 2돌 ㅠㅠ,5,2026-02-14T05:08:57-07:00,6.3.1
genshin,원신,13747479215,수매르가 좋음,제 인생 게임 입니다 할 것 도 많고 월드임무가 생각보다 진지하고 떡빱이 많아서 역사 덜질 하기 좋아요 ㅎㅎ 티바트가 생긴 이유나 그 전 상황들 시대별 전쟁과 수선화 십자회 같음 조직덕분에 진짜 이세계 보는 것 같아요 진짜 추천이에요!!,5,2026-02-14T00:35:20-07:00,6.3.1
genshin,원신,13747474803,살려줘…,원신을 요즘 안했더니 퀘가 밀렸어….,5,2026-02-14T00:33:26-07:00,6.3.1
genshin,원신,13743929531,안녕,장밍차이,1,2026-02-13T00:54:33-07:00,6.3.1
genshin,원신,13743322572,재밌음,"서브컬쳐계에서 과금 유도가 많은건 어쩔 수 없지만 무과금으로도 충분히 즐길 수 있음
작년 8월에 시작해서 지금 반년정도 했는데 재밌음
중간에 원태기 올 수도 있는데 뭐 그건 극복하면 그만임 어떻게 됐든 다시 돌아오기 마련
할거 없음 해보셈",5,2026-02-12T19:51:12-07:00,6.3.1
genshin,원신,13742946992,동생게임을 더 챙겨줘서 열받음,동생게임을 더 챙겨줘서 열받음,5,2026-02-12T17:07:59-07:00,6.3.1
genshin,원신,13730005040,인생 게임,세달 전에 시작한 생뉴비입니다 지금까지 모든 마신임무 다밀었고 너무너무 재밌게 플레이하고있어요 이거 하면 시간가는줄도 모르겠어요. 가챠할때 짜릿함이랑 캐릭터 얻고 쓰는 모든 하나하나가 다 재밌네요 인생게임입니다. 이런 게임을 만들어주셔서 감사합니다,5,2026-02-09T02:34:46-07:00,6.3.1
genshin,원신,13726773121,결국,다른 신작들 나와서 즐겼다가도 결국 돌아오게 되네요.,5,2026-02-08T05:25:57-07:00,6.3.1
genshin,원신,13725230273,원신,존•잼.이단어만있으면 원신의 평가는 끝이예요,4,2026-02-07T18:31:25-07:00,6.3.1
genshin,원신,13722402809,재밋음,"1점따리 리뷰보면 다 픽뚫 현질 이런 말 하는 사람이 대다수 인데
실제로는 그렇게 안 심함. 옛날 원신 무기뽑 수준이면 몰라도
요즘에는 별빛포착같은 지원 많이 해줌
픽뚫이 많이 난다면 그것은 운이 좋지 않은것ㅎ..
참고로 난 원신 3,4년 하는 동안 현질 한거라곤 만 오처넌 정도밖에
안 씀.. 게임하는 동안 현질유도 미쳣네,, 이런생각은 거의 한 적 없는듯",5,2026-02-07T01:51:55-07:00,6.3.1
