group,cohort,generation,debut_date,channel_id,name_ko,name_en,subscribers,total_views,video_count,created_at
홀로라이브,2021-2022 데뷔,JP 6기 holoX,2021-11-28,UC6eWCld0KwmyHFbAqK3V-Rw,하쿠이 코요리,Hakui Koyori,1370000,762522163,3470,2021-09-12T03:04:25.578989Z
홀로라이브,2021-2022 데뷔,JP 6기 holoX,2021-11-29,UCIBY1ollUsauvVi4hW4cumw,사카마타 클로에,Sakamata Chloe,1310000,220338211,649,2021-09-12T06:13:43.713878Z
홀로라이브,2021-2022 데뷔,JP 6기 holoX,2021-11-30,UC_vMYWcDjmfdpH6r4TTn1MQ,카자마 이로하,Kazama Iroha,1150000,313150994,1275,2021-09-12T06:16:48.954546Z
홀로라이브,2021-2022 데뷔,ID 3기,2022-03-25,UCTvHWSfBZgtxE4sILOaurIQ,벨스티아 제타,Vestia Zeta,1050000,72406744,1047,2022-01-27T09:00:05.512226Z
홀로라이브,2021-2022 데뷔,ID 3기,2022-03-26,UCZLZ8Jjx_RN2CXloOmgTHVg,카엘라 코발스키아,Kaela Kovalskia,915000,116581850,1745,2022-01-27T09:03:18.536952Z
홀로라이브,2021-2022 데뷔,ID 3기,2022-03-27,UCjLEmnpCNeisMxy134KPwWw,코보 카나에루,Kobo Kanaeru,2790000,274437313,856,2022-01-27T08:17:00.285086Z
홀로라이브,2023 데뷔,EN Advent,2023-07-30,UCgnfPPb9JI3e9A4cXHnWbyg,시오리 노벨라,Shiori Novella,741000,93701424,1023,2023-05-12T04:30:15.447107Z
홀로라이브,2023 데뷔,EN Advent,2023-07-30,UC9p_lqQ0FEDz327Vgf5JwqA,코세키 비쥬,Koseki Bijou,995000,140374342,920,2023-05-11T06:30:07.338704Z
홀로라이브,2023 데뷔,EN Advent,2023-07-30,UC_sFNM0z0MWm9A6WlKPuMMg,네리사 레이븐크로프트,Nerissa Ravencroft,1030000,143353919,683,2023-05-11T06:08:23.615659Z
홀로라이브,2023 데뷔,EN Advent,2023-07-30,UCt9H_RpQzhxzlyBxFqrdHqA,후와와·모코코,FUWAMOCO,1380000,171733840,1037,2023-05-12T04:38:41.661361Z
