comment_id,video_id,name_ko,name_en,unit,text,like_count,published_at,text_len,sid
UgxHLw1iV3_JLKrMKK14AaABAg,jMPJW2JNc9M,네네코 마시로,Neneko Mashiro,UNIVERSE,시로도 쇼츠가동! 3D 컨텐츠 좋아요!,298,2026-06-01T05:42:49Z,21,174
UgzjvWO1ugQbARHjOQd4AaABAg,lR8FEwEnuqk,시라유키 히나,Shirayuki Hina,UNIVERSE,공주랑노는거 완전 귀여워서 힐링되네ㅋㅋ,296,2026-07-15T06:19:31Z,21,175
UgzxhJDvsJ7fd3HDvaN4AaABAg,TTHSIecBzhg,아카네 리제,Akane Lize,UNIVERSE,아직 콘서트 시작 안했는데 연습하니까 아랫집 사람이랑 4번 만났어! 엥나 잘했지? 이웃간의 인간관계까지 신경써주는 대 리 제,291,2026-07-10T06:05:43Z,69,176
UgzQ4GUoYHoP8S3-Wxx4AaABAg,NMqafFZBz30,아오쿠모 린,Aokumo Rin,CLICHE,"물고기
죽순
양배추
...조리담당...?",291,2026-07-26T07:56:33Z,22,177
Ugwc5v4iu_7-UPtsVZt4AaABAg,ZYSQLv_L26Y,아오쿠모 린,Aokumo Rin,CLICHE,"저음에서 가성 전환, 긁는거, 지르는거
제가 린님 보컬에서 제일 좋아하는 것들이 다 들어있는 미친 곡... 개좋아...",291,2026-07-27T09:07:12Z,66,178
UgzlBHV7uxK_XzST5Lh4AaABAg,egoTEH8teX0,아야츠노 유니,Ayatsuno Yuni,EVERYS,"이거 보다가 학교 늦었다
책임져라…유니유니야",287,2026-07-09T23:23:28Z,24,179
Ugz3ROqldwIdd-D4QvF4AaABAg,UiYVtkyveYA,텐코 시부키,Tenko Shibuki,CLICHE,너불의 저 아무래도 화법이 그냥 ㅈㄴ 웃김,285,2026-07-09T08:29:43Z,23,180
UgwlKHFn9G8m8YdIXsl4AaABAg,KxG2L57W0SQ,아라하시 타비,Arahashi Tabi,UNIVERSE,"아니 시불 타비야 그래 이맛이지 역시 우린 야랄이 맞아 ㅋㅋㅋ 아 듣다보니 쥰내 웃기네 ㅋㅋㅋ
순수 재미들아 다시 살아나라",281,2026-06-29T04:58:17Z,68,181
Ugxx4uG0V2a8MM9RlSV4AaABAg,jMPJW2JNc9M,네네코 마시로,Neneko Mashiro,UNIVERSE,요즘 3D컨텐츠 많은거 좋다🩶,275,2026-06-01T06:32:15Z,16,182
UgxKlhblnOUY2ujQZ_x4AaABAg,aUVF5Tw9lz4,하나코 나나,Hanako Nana,CLICHE,외마디 비명 미친거냐고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,268,2026-07-08T08:05:20Z,22,183
UgyJf4-YeLeubHJ2BYJ4AaABAg,6y-jHz_1r1Y,유즈하 리코,Yuzuha Riko,CLICHE,히나 리제 성대모사 뭐야 ㅋㅋㅋㅋㅋㅋ 소름돋네,267,2026-07-18T07:19:13Z,25,184
Ugykd-d6mjEFs3YJYIN4AaABAg,1tnc3DNZfoc,아야츠노 유니,Ayatsuno Yuni,EVERYS,"고등학교 때 국어쌤이 그랬다
이번에 롯데 우승하면 집 사주겠다고
어쩌면 진심이었을지도 모른다만
암튼 아직도 내집마련 못함",267,2026-06-16T11:17:57Z,67,185
UgwQc5hEm0DvuV8eJxF4AaABAg,IVDQWVfrKwA,사키하네 후야,Sakihane Huya,EVERYS,2000살은 안산의 왕을 아르르르르 할 수 있구나,261,2026-06-30T22:22:24Z,27,186
UgwldQD7S3DH5PhOQFV4AaABAg,1tnc3DNZfoc,아야츠노 유니,Ayatsuno Yuni,EVERYS,"롯데 마린즈나 요미우리 자이언츠를 응원해주십시오

롯데 자이언츠는 아닙니다..",256,2026-06-16T10:22:49Z,43,187
Ugw0ijAOk3aKO0iJUFR4AaABAg,p7jnlTehA2M,유즈하 리코,Yuzuha Riko,CLICHE,어째서 린은 고통받는 것인가...ㅋㅋㅋㅋ,256,2026-07-26T04:21:51Z,22,188
Ugy-SMzox2oaiDFbrB54AaABAg,TTHSIecBzhg,아카네 리제,Akane Lize,UNIVERSE,이게 콘서트임 무림인 집회임ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,255,2026-07-10T09:09:17Z,35,189
UgwvelnLqHq9nU1CHwd4AaABAg,UiYVtkyveYA,텐코 시부키,Tenko Shibuki,CLICHE,아무래도 부키는 나나보다는 크니 괜찮다고 볼 수 있지,243,2026-07-09T08:21:30Z,29,190
UgypDqsgkFUxdYjMTNt4AaABAg,P_oxx3_VpIY,유즈하 리코,Yuzuha Riko,CLICHE,드디어 시작해볼까 뒷부분을 듣는구나,240,2026-07-24T06:33:09Z,19,191
UgwfzoLJR1z_CTFbX6x4AaABAg,eeDdzUFGfcU,네네코 마시로,Neneko Mashiro,UNIVERSE,진짜 이렇게 세상에서 제일 귀여운 시로랑 같은 시대를 살아갈 수 있는게 영광이다🩶🩶,238,2026-07-07T10:37:41Z,46,192
Ugx3vgdHLwXmYyvtCqJ4AaABAg,w16uoVZpKqY,사키하네 후야,Sakihane Huya,EVERYS,꼬리 파닥거리는 거 귀엽네,236,2026-07-28T22:02:47Z,14,193
UgzTSi_PGbiocb_txAd4AaABAg,P_oxx3_VpIY,유즈하 리코,Yuzuha Riko,CLICHE,2:26 헤이 오빠삐 개 쳐귀엽네,235,2026-07-24T10:40:02Z,18,194
UgxMdCHRHdhKT3eEbjJ4AaABAg,I88_TyumGqQ,아오쿠모 린,Aokumo Rin,CLICHE,미쳤나봐 버스 안에서 혼자 에어팟 끼고 리듬 타고 있었어ㅋㅋㅋ,233,2026-07-28T08:08:21Z,34,195
UgxKlp4M99CV7ryeOgR4AaABAg,bHeNo0qY2iI,하나코 나나,Hanako Nana,CLICHE,"드릴 소리 개웃기네ㅋㅋㅋㅋㅋㅋㅋ
머리 모양때문에 아가씨 손된건 왜케 귀여움ㅋㅋㅋㅋㅋㅋㅋㅋ",232,2026-06-29T08:06:26Z,49,196
Ugz6wCfSsbwHRsjJrSV4AaABAg,xKYey53VI1U,시라유키 히나,Shirayuki Hina,UNIVERSE,"강한 포켓몬, 약한 포켓몬. 그런 건 사람이 
멋대로 정하는 것

하지만 사람들이 다 쓰는덴 이유가 있다고😂",232,2026-07-12T05:12:30Z,60,197
